Lines	Bf	Sd	KMP	RK	FSM	Z
458	78703	229566	44029	658182	678506	658182	
461	80292	237009	45137	688243	686056	688243	
464	77379	225295	45782	677328	680209	677328	
467	97152	271353	51885	791471	780458	791471	
470	82062	239484	49054	681016	691870	681016	
473	79197	244222	46713	699814	700579	699814	
476	82346	237622	48027	692328	690225	692328	
479	77780	237950	47980	687250	695132	687250	
482	89177	233442	48836	704915	703239	704915	
485	81574	234575	48278	707836	694803	707836	
488	81308	235682	47303	708660	702566	708660	
491	82237	244798	47834	715861	735320	715861	
494	84457	235311	48277	704584	702773	704584	
497	80539	245613	46957	709660	702107	709660	
